8414, 5875
4413, 8459
417, 8424
1181, 3521
7937, 2634
3636, 8937
5932, 9248
4811, 6684
3609, 5459
2090, 6619
2697, 4345
3134, 7968
4198, 3269
6418, 4857
153, 5673
6059, 4576
4770, 384
4691, 8186
5925, 8278
2110, 4779
5712, 4675
1258, 8235
2846, 5945
5460, 155
1851, 4712
9572, 3955
563, 8131
1896, 5510
7646, 8874
857, 3786
5887, 8795
2890, 9499
8208, 8997
8217, 9494
6239, 6273
3411, 8480
4972, 4390
5722, 1944
9959, 2647
8839, 4514
9659, 8480
964, 9577
6794, 6827
6276, 8168
1696, 9598
9653, 9983
6188, 7460
3249, 5835
9294, 2985
7937, 6861
6239, 2932
6219, 5269
9367, 8097
9898, 5350
6090, 3676
4385, 7328
980, 3739
8810, 7315
470, 7318
825, 354
9381, 7870
8088, 7950
86, 3608
9195, 2793
9192, 4875
8388, 6042
7522, 9249
4435, 645
9956, 2467
6783, 1196
5797, 4935
5053, 1251
5293, 597
2108, 60
563, 1716
4083, 1424
2416, 6098
529, 1110
1934, 3364
5149, 7628
8705, 5550
8625, 4508
8927, 4580
3232, 2992
4813, 2044
9656, 9886
9566, 6629
4430, 6251
8975, 9388
6261, 6151
2758, 1481
4922, 2098
2956, 4142
6285, 703
3430, 4639
7679, 6100
173, 2822
4934, 645
4176, 4199
1103, 6568
5228, 3288
2762, 2401
386, 7459
9941, 9743
4056, 1883
6, 3183
1292, 2409
5048, 8998
6181, 6123
691, 9737
5739, 2885
9168, 1631
3120, 6589
4514, 8693
2964, 9023
1912, 2854
8211, 5373
4440, 3243
7258, 684
957, 4728
7835, 8593
8057, 5999
1220, 9684
6464, 1237
8005, 4464
7778, 2341
9, 4837
512, 433
5047, 8330
5940, 5541
1383, 7744
2823, 5742
235, 7160
8761, 7349
2070, 2298
8460, 3911
2651, 8390
6405, 6083
5074, 4271
3659, 1900
4834, 5626
5703, 748
6897, 9943
5134, 2157
9425, 7471
1624, 1275
2501, 6498
2121, 7411
1928, 5744
6573, 2020
7751, 2342
9673, 3202
204, 9669
7276, 7344
9062, 1600
4346, 542
1749, 4294
7621, 1218
976, 5668
7695, 856
5873, 6406
3551, 6227
6468, 259
9209, 7754
1, 1979
4945, 7079
296, 9622
8753, 5850
1997, 965
4597, 4716
2054, 4252
1460, 2293
4910, 9772
4459, 5930
7460, 2046
6792, 3962
9097, 916
8116, 9560
3265, 583
3932, 8223
487, 8381
7592, 2762
7012, 2966
2708, 3053
4553, 9088
4137, 5833
6333, 6185
4786, 7868
4900, 8165
1934, 2329
9700, 7162
7004, 1592
9982, 8237
4796, 5763
7247, 5692
9049, 7462
7662, 9275
3505, 1699
5622, 3317
5684, 5700
5587, 6540
744, 5013
8504, 7320
612, 6874
4960, 704
4325, 1563
9484, 3429
4988, 2490
3645, 2424
297, 1740
4511, 2635
3717, 2905
3604, 5104
3703, 9752
8975, 3512
4993, 220
989, 6579
5932, 9963
144, 1435
4986, 6666
9635, 8686
7919, 6835
6118, 9313
7920, 5195
4360, 750
649, 2749
7643, 1867
6549, 1425
5850, 5843
3961, 2368
6781, 189
3714, 8051
2731, 5996
2136, 8795
427, 6829
4939, 1556
6172, 4456
4764, 1208
2188, 6993
283, 4326
2492, 3590
4219, 562
9073, 6722
4760, 4461
8514, 4492
6610, 5064
8575, 2704
6325, 6551
3925, 9274
98, 2131
7745, 5991
3220, 6039
3267, 3082
7623, 7377
887, 9133
244, 3653
6515, 6458
9449, 5780
1286, 1494
927, 7119
9512, 5428
8089, 4811
9619, 2140
4857, 5947
3534, 4975
5451, 2775
9200, 5042
1193, 4269
1915, 1169
9423, 7604
3923, 3104
8251, 8985
5788, 8397
4205, 9099
5680, 1895
6542, 9506
8225, 4128
2868, 7527
8117, 593
344, 1397
3343, 9307
9772, 2884
6218, 1026
8421, 2620
4195, 7229
315, 1037
1782, 8902
7177, 1216
7747, 8415
4377, 7529
4610, 7995
6312, 8763
7295, 8341
9879, 377
5623, 2969
8427, 1880
1142, 7001
4906, 9015
8, 8090
2541, 9831
7833, 4245
5998, 9596
7920, 4287
8306, 9130
7991, 87
9563, 5346
5248, 148
4513, 2327
3327, 2197
767, 1046
8764, 5298
5210, 2283
2611, 7851
3160, 1306
8623, 3990
8041, 3108
3660, 1389
605, 1615
5096, 614
6087, 2711
3779, 7070
3621, 8277
4339, 6227
7894, 8839
3992, 3930
3308, 4887
151, 6084
2798, 2194
1110, 7384
181, 2707
7138, 7861
8284, 8175
602, 3551
4404, 4194
5360, 8069
2217, 9230
1371, 213
9969, 8367
3432, 2577
3399, 7524
1023, 8023
8997, 9194
7578, 6179
7716, 773
8298, 1279
6864, 6778
6086, 4388
2929, 342
9109, 3968
6254, 706
3823, 8070
7789, 7449
3297, 3650
504, 8570
4968, 5885
8279, 7513
7569, 309
6475, 7934
6764, 1291
4242, 2217
3523, 9854
6876, 1837
8230, 7370
691, 5983
4780, 9393
5083, 2473
6794, 8434
9969, 7369
3033, 5808
6427, 745
1105, 8227
1352, 7311
2280, 5176
6551, 2226
1631, 6436
6595, 4081
5990, 58
5422, 9632
3504, 9010
681, 3828
1983, 1362
2127, 5290
5204, 5400
2402, 8964
2764, 9831
6667, 3099
9507, 4757
319, 2238
6158, 7240
2911, 2290
4442, 1875
9075, 875
7947, 6758
2662, 4839
9493, 878
4515, 6094
5257, 2709
1066, 8051
4081, 4380
5760, 6037
2762, 8893
1073, 3132
769, 1101
5387, 5912
3830, 655
5334, 8697
3544, 5644
3610, 7064
3913, 9876
2505, 906
5421, 2916
6869, 6101
1848, 83
8037, 1892
8110, 1605
8509, 6402
9733, 8505
6219, 301
7792, 5597
7866, 4166
6911, 9683
344, 763
8430, 6568
9295, 4034
6601, 717
6989, 8595
6285, 378
5469, 3477
2953, 3691
4830, 5776
2916, 4974
7835, 6971
9059, 5597
7539, 3982
441, 7148
3579, 8169
4312, 2070
2878, 3829
5199, 9980
7633, 4166
2437, 9478
7072, 5314
2920, 4265
1711, 5168
968, 4999
5446, 1788
8756, 7128
8854, 4582
8232, 9531
